frames,fault_rate
1,916.667
2,816.667
3,750
4,716.667
5,550
6,483.333
7,366.667
8,266.667
9,233.333
10,166.667
11,166.667
12,166.667
13,166.667
14,166.667
15,166.667
16,166.667
17,166.667
18,166.667
19,166.667
20,166.667
21,166.667
22,166.667
23,166.667
24,166.667
25,166.667
26,166.667
27,166.667
28,166.667
29,166.667
30,166.667
31,166.667
32,166.667
33,166.667
34,166.667
35,166.667
36,166.667
37,166.667
38,166.667
39,166.667
40,166.667
41,166.667
42,166.667
43,166.667
44,166.667
45,166.667
46,166.667
47,166.667
48,166.667
49,166.667
50,166.667
